psraid,sample,segment,int_date,lang,comp,version,stz,scregion,sstate,susr,stimes,filtera,filterb,filterc.1,filterc.2,llitext0,qs1,q1,q2,qp1,sex,qm1,qm2,q2x,qp1a,chage1,chsex,chage2,chage3,chage4,chage5,qp2,q3,q4,qe3,q7,q8,q12,q15,q21a,q21b,q21c,q21d,q21e,q22,q23a,q23b,q23c,q23d,q23e,q24,q29a,q29b,q29c,q29d,q30,q31,q33,q34,q35a,q35b,q35c,q35d,q35e,qe5,q40,q41am1,q41am2,q41am3,q41c,q42m1,q42m2,q42m3,q42m4,q43,q44a,q44b,q44c,q49a,q49b,q49c,q49d,q49e,q50,q52,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,q57,q58,q62,q63,q65a,q65b,q65c,q67a,q67b,q68a,q68b,q68c,q68d,q68e,q7486ord,q74a,q74b,q74c,q77,q79,q80,q81a,q81b,q81c,q86a,q86b,q86c,q86d,q86e,q86f,q86g,q90,q92a,q92b,q93,q94a,q94b,q94c,age,qm3,fam3a,fam3b,fam3c,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,relig,chr,born,attend,q95,q96,income,party,partyln,ideo,hh1,hh3,ownrent,ql1,ql1a,qc1,raceos,religos,origraceos,usr,cregion,state,density,partysum,partyideo,child,recage,racethn,racethn2,racecmb,recage2,iphoneuse,hphoneuse,adults,parents,kids,ll,cp,wt1,utweight,weight
200557,2,2,91815,2,1,4,E,2,18,,2, , ,1,4, ,2,1,1,1,1,6, , ,3, , ,1,2,0,2,3,2,2,1,3,4,3,1, ,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,1,3,4,3,2,3,3,3, , ,1,1, , ,1,1, , , , ,17,14,18, ,2,3,3,2,3,3,1,1,1,1,1,1,1,1,3,2,2,2,1,3,1,1,1,3,2,2,3,2,2, , , , , , , , , ,1,1,1,2,2,1, ,1,1,1,2,1,2,1,37,1, , , ,3,1,1, , , ,3,2, ,1,1, , ,4,3,2,2,8,5,2, , ,2,,,HISPANIC WHITE,U,2,18,5,2,3,3,3,3,4,1,2,3,3,3,1,3,0,1,1.534390825668926,0.92,3.5384615384615383
202212,2,2,93015,2,1,5,E,3,37,,3, ,3, , , ,2,1,1,1,1,1, ,3,3, , ,0,1,2,2,3,2,3,1,1,2,3,2,1, ,1,3,1,1,2,9,2,2,9,2,1,9,4,4,9,9,3,3,3,3,3,3,3,3,1,98, , , , , , , , ,18,13,18,1,1,2,4,2,9,3,1,1,2,1,1,1,2,1, ,1,1,2,9,1,1,9,2,4, ,2,4,1, , , , , , , , , , ,2,1,1,2,2,2,2,2,2,2, ,1,1,2,39, , , ,1,2,1,7, , , ,3,13, ,1,1, , ,10,2, ,2,5,2,1, , ,2,,,HISPANIC,S,3,37,2,2,4,3,3,3,4,5,2,3,3,2,2,3,0,1,1.534390825668926,1.19,4.576923076923077
107500,1,1,100415,1,1,5,P,4,6,S,3, , , , ,1, ,1,3,1,1,4, , ,8, , ,0,9,0,9,3,1,2,1,4,2,3,2, ,1,1,3,3,1,1,2,2,2,3,1,1,3,4,4,1, ,4,3,6,3,3,3, , , , , , , , , , , , ,98,98,98, ,3,4,4,4,4, ,2,1,2,2,2,1,1,1, , ,2, ,3,3,1,2,4,3, ,3,3,3,2, , , , , , , , , , , , , , , , , , , , , , , ,31,1, , , ,2,1,7, , , ,1,2, ,2,3, , ,1,3,9,2,4,2,2,2,2, ,,,HISPANIC,S,4,6,2,9,3,2,2,3,3,5,2,1,1,2,1,3,1,0,0.5142047928270624,0.82,3.1538461538461537
400502,2,4,100515,1,1,5,E,3,12,S,4,1, , , , ,2,3,1,1,2,4, , ,1,3,1, , , ,0,3,1,3,2,5,1,2,1, ,1,1,1,1,2,1,2,1,1,1,1,1,1,3,3,1, ,1,1,3,1,1,2, , , , , , , ,1,3, , , ,12,14,16, ,3,1,4,1,2, ,1,1,9,2,1,1,1,1,4, ,2, ,3,1,1,2,3,3,2,1,3,1, ,2,1,2,2,1,2, , , , , , , , , , , , , , , , , ,30,1, , , ,5,1,7, , , ,1,12, , ,5, , ,2,3,9,3,3,2,2, , ,2,,,DOMINICAN,S,3,12,2,9,3,1,2,3,3,5,2,3,3,2,1,1,0,1,0.8782680324786962,1.39,5.346153846153846
204805,2,2,100315,1,1,5,P,4,6,,3,1, , , , ,2,2,1,1,2,3, , ,1,1,1, , , ,0,3,1,2,1,1,2,3,2, ,1,2,2,2,3,1,2,1,3,1,3,1,1,3,2,2, ,2,3,3,3,1,3, , , , , , , ,2, , , , ,10,7,10, ,2,2,3,3,1, ,2,2,2,2,2,2,2,2,2, ,2, ,2,2,2,2,2,3,2,4,4,1, ,2,1,1,1,1,1,1,1,2, , , , , , , , , , , , , , ,28,1, , , ,8,2,9, , , , ,12, , ,6, , ,8,2, ,4,3,2,2, , ,2,,,DECLINED,U,3,12,4,2,5,1,1,9,9,9,1,3,3,2,1,1,0,1,1.534390825668926,1.96,7.538461538461538
300028,1,3,100515,1,1,5,C,3,48,U,4, ,2, , ,2, ,1,1,1,2,1, ,3,1,9,2, , , ,0,3,2,1,1,4,1,2,2,1, ,1,2,1,1,2,2,1,3,1,3,2,2,3,3,2,3,1,2,3,1,3,3,3,1,1,1, , ,1, , , , , ,16,99,16,2,2,2,4,2,3,3,2,2,2,2,1,1,1,1, ,1,1,2,3,3,1,1,3,1, ,1,4,1, , , , , , , , , , ,1,2,1,2,1,1, , ,1,1,2,1,1,2,36, ,1, , ,8,2,1, , , , ,1, ,1,2,3,3,3,1, ,2,3,2,2,1, , ,,,BRAZILIAN,U,3,48,3,1,1,1,3,1,1,1,2,2,2,2,2,1,1,1,0.8143176328909207,0.92,3.5384615384615383
400412,2,4,93015,1,1,5,E,3,12,S,5,3, , , , ,2,2,2,1,1,2,2,2,2, , ,2,0,0,0,3,2,2,1,2,1,2,1,1, ,1,3,1,3,1,1,1,1,1,1,1,1,3,3,1, ,2,3,2,3,3,3,2,3, , , , , , , , , ,3,14,99,99,1,3,4,4,4,3, ,2,2,2,2,2,2,1,2,4, ,1, ,2,2,1,3,2,2,2,1,3,1, ,1,1,2,1,1,2, , , , , , , , , , , , , , , , , ,33, , ,1, ,6,1,2,1, , ,1,2, ,2,3, , ,6,3,2,3,4,2,1, , ,2,,,BLACK WHITE HISPANIC,S,3,12,2,2,3,2,2,3,3,4,2,3,3,2,2,2,0,1,0.5238036468214446,0.44,1.6923076923076923
204705,2,2,100315,1,1,5,E,3,37,,2,1, , , , ,2,2,2,1,2,1, ,3,1,2,1, , , ,0,3,1,1,1,2,1,2,1,1, ,1,3,2,2,2,2,1,1,1,1,2,2,3,3,1, ,3,1,1,3,2,1,2,1, , , , , ,2, , , , ,12,10,13,2,3,3,2,2,3, ,2,1,2,2,2,2,1,2,3, ,1, ,1,1,1,2,2,1,2,5,2,1, ,2,1,2,1,1,2,1,3,1, , , , , , , , , , , , , , ,35, ,1, , ,8,2,2,5, , , ,1, ,1,2,1,2,10,2, ,3,3,2,3, , ,2,,,AFRICAN AMERICAN AND NATIVE AMERICAN,U,3,37,3,2,4,1,3,4,5,4,2,3,3,2,2,1,0,1,1.534390825668926,2.07,7.961538461538461
201738,2,2,101115,1,1,5,P,4,6,,5, ,2, , , ,2,2,1,1,1,1, ,2,1,12,2, , , ,0,2,2,4,1,5,2,3,1,1, ,2,2,1,3,1,1,1,1,1,1,2,2,2,1,2,3,1,1,3,3,3,3,2,1,4,1, , ,1, , , , , ,16,13,18,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2, ,4,2,1,1,2,2,2,3,1, ,1,3,3, , , , , , , , , , ,1,2,2,2,1,2, , ,1,1,2,1,1,2,38, ,2, , ,6,2,2, , , , ,9, , ,6,1,1,3,3,9,3,3,2,2, , ,2,,,ABORIGINAL AMERICAN,R,2,27,1,9,3,1,3,2,2,2,2,3,3,2,2,1,0,1,1.534390825668926,0.97,3.7307692307692304
106704,1,1,100315,1,1,5,C,2,29,U,4, ,2, , ,1, ,2,2,1,1,2,2,3,1,8,2, , , ,0,3,2,2,4,4,1,3,1,1, ,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3, , ,2,2,3,2,3,3,2,5, , , , , , , , ,14,12,14,2,2,2,3,2,3,1,2,1,1,1,2,1,1,1, ,2,2,1,2,1,2,1,2,2, ,1,4,1, , , , , , , , , , ,1,1,1,2,1,1, ,1,1,1,2,1,1,1,41, ,1, , ,4,2,1, , , , ,99,2, ,1, , ,2,3,2,4,4,3,2,1, , ,,,1 4,U,2,29,3,2,3,1,4,1,1,1,2,2,2,3,2,1,1,1,0.683796174408227,0.74,2.846153846153846
